platform_id;certificate_id;issue_date;certificate_fee;course_name;online_date;certificate_name;certificate_type;course_id;course_info
386;804;2032-08-08;103,27;Project Management Essentials;2026-02-15;Cloud Fundamentals Certificate;completion;124,0;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
278;680;2025-01-15;1169,77;Excel for Professionals;2024-06-09;Operations Excellence Certificate;advanced;;"Prepares students to automate reporting and work with advanced formulas; requires basic Excel skills."
396;472;2022-07-15;85,22;Data Visualization with Power BI;2021-04-18;Excel Professional Certificate;completion;139,0;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
280;597;2035-09-04;847,94;Data Governance Fundamentals;2025-10-16;Supply Chain Analytics Certificate;advanced;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity."
301;395;2031-04-27;450,0;SQL for Data Management;2022-08-16;Statistics for Business Certificate;specialization;;"Prepares students to query and manage relational databases; requires no prior SQL experience."
342;532;2022-02-06;78,33;Agile and Scrum Fundamentals;2021-11-24;Excel Professional Certificate;completion;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
339;427;2030-04-23;238,0;Leadership in Digital Teams;2025-11-25;;specialization;174,0;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest."
249;836;2032-07-23;98,34;Web Development Basics;2022-11-24;Web Development Foundations Certificate;completion;;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy."
479;930;2028-08-09;930,77;HR Analytics;2024-09-01;Industrial IoT Certificate;advanced;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge."
286;59;2034-05-09;81,94;Machine Learning Basics;2025-09-19;AI Productivity Certificate;completion;;"Prepares students to understand supervised learning workflows; requires statistics and Python basics."
92;573;2022-06-05;77,84;Operations Management;2021-11-13;Database Foundations Certificate;completion;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
450;402;2030-10-18;339,12;Excel for Professionals;2026-01-26;Business Analytics Certificate;specialization;;"Prepares students to automate reporting and work with advanced formulas; requires basic Excel skills."
162;986;2025-04-14;202,36;Python for Business Analytics;2023-11-28;Business Intelligence Specialist;specialization;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
484;542;2024-04-29;171,5;Agile and Scrum Fundamentals;2022-04-20;Business Analytics Certificate;specialization;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
127;669;2029-07-02;900,0;Agile and Scrum Fundamentals;2024-02-15;Financial Modeling Certificate;professional;105,0;"Prepares students to work in agile delivery environments; requires no prior agile certification."
115;291;2023-06-26;311,02;Process Improvement Techniques;2021-06-27;HR Analytics Certificate;specialization;;"Prepares students to improve processes using structured methods; requires analytical thinking."
329;51;2024-03-03;373,26;AI Tools for Productivity;2022-10-27;HR Analytics Certificate;specialization;50,0;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy."
48;861;2034-03-22;310,58;Data Visualization with Power BI;2024-09-28;Data Professional;professional;169,0;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
437;43;2024-06-19;835,23;Business Communication Skills;2022-08-28;Project Management Certificate;professional;;"Prepares students to communicate clearly in professional environments; requires no technical background."
291;713;2026-02-15;60,4;Agile and Scrum Fundamentals;2025-04-22;Database Foundations Certificate;completion;195,0;"Prepares students to work in agile delivery environments; requires no prior agile certification."
47;835;2025-01-30;214,93;Financial Modeling Essentials;2024-05-17;Statistics for Business Certificate;specialization;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
193;236;2028-07-10;70,91;Database Design Principles;2022-11-05;Web Development Foundations Certificate;completion;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
485;132;2031-10-02;51,49;SQL for Data Management;2024-12-13;Excel Professional Certificate;completion;33,0;"Prepares students to query and manage relational databases; requires no prior SQL experience."
376;408;2034-02-08;899,45;Python for Business Analytics;2025-04-11;Machine Learning Foundations Certificate;advanced;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
356;457;2025-11-05;858,06;Industrial IoT Fundamentals;2025-09-22;Supply Chain Analytics Certificate;advanced;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
160;195;2021-09-02;413,07;R for Data Analysis;2021-03-22;Statistics for Business Certificate;specialization;176,0;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge."
447;923;2023-12-12;900,0;Data Governance Fundamentals;2023-06-23;Project Management Certificate;professional;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity."
181;238;2022-10-24;900,0;Risk Management Essentials;2021-05-08;Power BI Analyst Certificate;professional;;"Prepares students to identify, assess, and report business risks; requires basic business literacy."
407;726;2024-05-24;129,01;Python for Business Analytics;2022-05-14;Business Intelligence Specialist;specialization;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
122;64;2025-11-03;52,26;Process Improvement Techniques;2024-01-27;Cloud Fundamentals Certificate;completion;;"Prepares students to improve processes using structured methods; requires analytical thinking."
419;473;2022-09-06;32,7;ERP Systems Introduction;2021-09-06;Database Foundations Certificate;completion;119,0;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness."
267;73;2025-09-26;47,74;Digital Marketing Analytics;2023-10-04;Database Foundations Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
136;317;2025-05-02;716,99;Industrial IoT Fundamentals;2021-04-04;Supply Chain Analytics Certificate;advanced;11,0;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
136;317;2025-05-02;1039,08;Process Improvement Techniques;2021-04-04;Supply Chain Analytics Certificate;advanced;58,0;"Prepares students to improve processes using structured methods; requires analytical thinking."
136;317;2025-05-02;750,26;Business Intelligence Foundations;2021-04-04;Supply Chain Analytics Certificate;advanced;67,0;"Prepares students to design dashboards and reports; requires basic numerical reasoning."
